Data de publicació,Copy
"Sun, Feb 25 2024","Google desafia ChatGPT amb el llançament d'una IA que supera els experts en Matemàtiques o Física ➡️ https://loom.ly/vKqX1-Q"
"Tue, Feb 27 2024","Volem ser el teu Channel Manager! 🏨 Millora i optimitza la comercialització en línia del teu establiment hoteler des d'una plataforma única de forma senzilla, efectiva i ràpida amb l'extranet d'Obehotel. Us proporcionem connexió directa amb els principals canals i agències de viatges online, actualitzant el vostre inventari, el vostre producte, administrant la vostra disponibilitat i gestionant els vostres preus de forma simultània. Tota la informació aquí ➡️ www.obehotel.com"
"Fri, Mar 1 2024","Efimatica tampoc s'ha volgut perdre el Mobile World Congress! 👍 Estem molt contents d'haver assistit un any més a la fira més rellevant de la indústria mòbil. Enguany, hem tingut l'oportunitat de conèixer les últimes novetats tecnològiques i fomentar noves connexions amb empreses d'arreu del món. #MWC24 #MWC #MobileWorldCongress #Barcelona"
"Mon, Mar 4 2024","🔐 A mesura que passa el temps, l'abast i la gravetat de les ciberamenaces i filtracions de dades van en augment. Les aproximacions de seguretat tradicionals ja no són suficients i es necessita la implementació de metodologies integrals que abordin de manera efectiva les amenaces i riscos. En aquest context, les metodologies Zero Trust es presenten com una estratègia fonamental per a la protecció de les dades en les organitzacions actuals i futures."
"Wed, Mar 6 2024","🌐 Necessites una pàgina web per donar visibilitat al teu negoci? Nosaltres te la podem preparar en un temps rècord i l'adaptem a totes les teves necessitats! Característiques: Totalment autogestionable, Multillenguatge, Allotjament i domini del primer any inclosos, Certificat digital, 3 correus electrònics gratuïts, Web responsiva (adaptada a mòbils i tauletes), Integració de mètodes de pagament (TPV / PayPal / transferència)."
"Fri, Mar 8 2024","El turisme, entre els sectors que més perill corre en temes de ciberseguretat ➡️ https://loom.ly/OtFu3fc"
"Mon, Mar 11 2024","Al llarg del 2023, les Petites i Mitjanes Empreses (PIMES), a més de fer front als desafiaments derivats de la inflació i de l'accés al finançament, van experimentar un procés de digitalització per optimitzar les seves activitats i aconseguir o mantenir la seva rellevància en un mercat cada vegada més competitiu. Descobreix-ne tots els detalls a través de l'enllaç següent ➡️ https://loom.ly/lN4f2Pw"
"Wed, Mar 13 2024","La cibersegureta es converteix en palanca de reconversió laboral. L'Institut Nacional de Ciberseguretat i la Fundació Universia llancen un programa de beques per a aturats per tal de millorar les competències digitals i augmentar-ne el nivell d'ocupabilitat ➡️ https://loom.ly/Boqc_sY"
"Mon, Mar 18 2024","📶 Els nostres professionals poden encarregar-se de preparar les instal·lacions de xarxa de la teva empresa per tal que disposeu d'una excel·lent connectivitat per a les vostres tasques diàries. Serveis de muntatge, configuració i manteniment de xarxes Wifi amb i sense fils. Controladors de domini, DNS i DHCP, perfils d'usuari, cablejat, firewalls. iWifi: Ús de la wifi per a funcions comercials i de màrqueting. Monitoratge de la xarxa Wifi, control i ampliació de senyal."
"Wed, Mar 20 2024","Ciberseguretat al sector salut: característiques, amenaces i recomanacions ➡️ https://loom.ly/Vyskn6E"
"Fri, Mar 22 2024","Les necessitats tecnològiques són diferents a cada empresa. La nostra llarga trajectòria treballant per a empreses de totes les mides i sectors ens aporta el coneixement necessari per poder dissenyar solucions a mida per tal que amb una òptima relació qualitat-cost la tecnologia aporti el màxim valor a la teva empresa. 📈 Descobreix Efimatica ➡️ https://loom.ly/gEIOx-I"
"Mon, Mar 25 2024","📲 Des del departament web hem participat en el desenvolupament de la nova pàgina web de MedPlaya, cadena hotelera amb més de 10 hotels a les principals destinacions turístiques espanyoles i amb la qual portem col·laborant i treballant des de fa molts anys. Dona-li una ullada! ➡️ https://loom.ly/Rq8vXeY"
"Wed, Mar 27 2024","Europa regula la intel·ligència artificial, el primer pas d'un llarg camí ➡️ https://loom.ly/c-cWRKg"
"Fri, Mar 29 2024","🗣 Les empreses disposen de molta informació sobre els seus clients, els seus productes, els proveïdors, etc. Aquesta informació, que és en els seus sistemes d'informació operacionals, moltes vegades no és analitzada i no se'n treu el profit que se'n podria treure. 📃 Els projectes de Business Intelligence estan pensats per ajudar les empreses a prendre decisions."
"Tue, Apr 2 2024","Famílies ransomware: accions de resposta i recuperació ➡️ https://loom.ly/O8KXgjY"
"Wed, Apr 3 2024","🗣 Descobreix Obehotel, la solució tecnològica integral per a hotels que millora tant els processos interns dels hotelers com l'experiència dels clients durant la vostra estada. Dissenyada per professionals de les TIC, Obehotel s'adapta constantment als canvis i tendències del mercat. Uneix-te a nosaltres i descobreix per què som una de les principals companyies espanyoles especialitzades en tecnologia de distribució en línia per al sector turístic hoteler ➡️ https://loom.ly/58EAJu0"
"Fri, Apr 5 2024","🌐 Coneixem en profunditat el sector de la informàtica i les tecnologies de la comunicació i les oportunitats que brinda per a les empreses, i ens renovem proactivament formant-nos en el coneixement de les noves tecnologies per oferir-te sempre les solucions que millor s'adapten a les teves necessitats. Descobreix el que et podem oferir ➡️ https://loom.ly/5VV66fc"
"Thu, Apr 11 2024","Escolten les nostres converses Alexa, Google o Siri? ➡️ https://loom.ly/7bOL8eU"
"Sat, Apr 13 2024","El futur de l'hostaleria i la restauració és digital, per això és important estar al dia de les novetats tecnològiques i saber-se adaptar a elles. Cada vegada més, els establiments estan optant per incorporar cartes digitals, ja que aquestes ofereixen un gran nombre d'avantatges: aporten una imatge moderna, milloren l'experiència del client, poden editar-se fàcilment, ajuden a optimitzar el servei. T'ajudem a crear la teva! Posa't en contacte amb nosaltres ➡️ https://loom.ly/gxa49uQ #restauració #servei #cartadigital"
"Wed, Apr 17 2024","Estigues al dia de totes les novetats tecnològiques i de ciberseguretat seguint-nos a les nostres altres xarxes socials! Twitter ➡️ https://loom.ly/iofdNIc | Linkedin ➡️ https://loom.ly/jPV1Jw8"
"Fri, Apr 19 2024","📲 Des del departament web hem desenvolupat el nou lloc web de Totparquet, empresa familiar especialista en paviments i revestiments, parquets i terres de fusta. Dona-li una ullada! ➡️ https://loom.ly/XSeSaOY #Efimatica #Totparquet"
"Mon, Apr 22 2024","Girona, una de les províncies més vulnerables als ciberatacs: un estudi apunta que hi ha 63.944 dispositius o punts de connexió a internet fràgils i que són possibles objectius de cibercriminals ➡️ https://loom.ly/sdNR3hg"
"Wed, Apr 24 2024","Des d'Obehotel, oferim una àmplia gamma de solucions de marketing online que t'ajudaran a augmentar les teves vendes: posicionament en buscadors, gestió de xarxes socials, reputació online, campanyes d'email marketing, campanyes publicitàries, newsletters, blog, BBDD, qüestionaris de satisfacció online, publicacions en diversos idiomes. ➡️ www.obehotel.com"
"Fri, Apr 26 2024","El Parlament Europeu ha aprovat aquest dimecres la llei de ciberseguretat que reforçarà la capacitat de la Unió Europea per detectar, preparar-se i respondre a les amenaces i incidents de ciberseguretat, i que planteja la creació d'un 'escut europeu' format pels centres d'operacions de seguretat nacionals i transfronterers. ➡️ https://loom.ly/HWtAjlk"
"Mon, Apr 29 2024","A través d'Obehotel oferim a l'hoteler una solució integral per gestionar el seu establiment turístic de manera fàcil i ràpida, optimitzant la feina. Les nostres integracions permeten automatitzar els processos de gestió, evitant errors i estalviant temps i recursos. Descobreix les nostres solucions ➡️ https://loom.ly/58EAJu0 #Obehotel #Efimatica #MotorDeReserves"
"Fri, May 3 2024","Takeo Kanade, enginyer: ""La visió artificial portarà la teletransportació, però sense descompondre el teu cos i enviar-lo a l'altre lloc"" ➡️ https://loom.ly/CvDLO8Y"
"Mon, May 6 2024","📶 Les xarxes corporatives son cada vegada més complexes i son molts els factors que cal tenir en compte pel seu bon funcionament. A Efimatica us ajudem a simplificar la configuració, administració i control de les xarxes corporatives i infraestructura, agilitant els fluxos de treball i maximitzant la seguretat. Proporcionem: Manteniment i desplegament de xarxes, Gestió de Wifis corporatius, Millores en xarxes Wifis existents."
"Wed, May 8 2024","🗣 Efimatica neix amb l'arribada de la popularització de l'ús de l'Internet i les importants conseqüències que això va suposar per al sector turístic. Aquest canvi en el mercat va obligar el sector a introduir en el seu dia a dia les noves tecnologies i les oportunitats que brindava l'arribada l'Internet. Replantejar la comercialització turística amb tecnologies i sistemes que mai abans s'havien dut a terme era el repte que se'ns plantejava. Efimatica vam ser pioners. https://loom.ly/mp5bW0A"
"Fri, May 10 2024","🌐 Coneixem en profunditat el sector de la informàtica i les tecnologies de la comunicació i les oportunitats que brinda per a les empreses, i ens renovem proactivament formant-nos en el coneixement de les noves tecnologies per oferir-te sempre les solucions que millor s'adapten a les teves necessitats. Descobreix el que et podem oferir ➡️ https://loom.ly/5VV66fc"
"Tue, May 14 2024","Nokia rellança el seu mític telèfon, però modernitzat i amb una clara intenció: la desintoxicació de la tecnologia ➡️ https://loom.ly/hamkwMg"
"Thu, May 16 2024","El Govern inclourà serveis a IA i d'assessoria tecnològica al 'Kit Digital' ➡️ https://loom.ly/El3lJuw"
"Thu, May 23 2024","Google estima que la IA generativa pot aportar fins a 120.000 milions d'euros al PIB d'Espanya durant la propera dècada ➡️ https://loom.ly/4y7D3yU"
"Sat, May 25 2024","El futur de l'hostaleria i la restauració és digital, per això és important estar al dia de les novetats tecnològiques i saber-se adaptar a elles. Cada vegada més, els establiments estan optant per incorporar cartes digitals, ja que aquestes ofereixen un gran nombre d'avantatges: aporten una imatge moderna, milloren l'experiència del client, poden editar-se fàcilment en cas que hi hagi modificacions en el menú, ajuden a optimitzar el servei."
"Thu, May 30 2024","🗣 El sistema SAP és un conjunt d'eines molt potents que ajuden a les empreses a gestionar millor el seu negoci, conduint els processos de cada àrea pel camí prèviament marcat en la definició de l'estratègia. Cada mòdul de SAP requereix uns coneixements funcionals i tècnics, que a Efimatica hem anat adquirint amb formació i experiència en multitud de projectes, en diverses àrees funcionals, com finances, compres, vendes, magatzems, solucions verticals, etc."
"Fri, May 31 2024","Arriben els 'IntelliPhones', la nova era de telèfons superintel·ligents ➡️ https://loom.ly/vCrQ0wQ"
"Mon, Jun 3 2024","Des d'Obehotel, oferim una àmplia gamma de solucions de marketing online que t'ajudaran a augmentar les teves vendes: posicionament en buscadors, gestió de xarxes socials, reputació online, campanyes d'email marketing, campanyes publicitàries, newsletters, blog, BBDD, qüestionaris de satisfacció online, publicacions en diversos idiomes. ➡️ www.obehotel.com"
"Fri, Jun 7 2024","Quishing: què és, com funciona i com evitar i protegir-te d'aquest tipus de ciberestafa ➡️ https://loom.ly/YxvgEYo"
"Sun, Jun 16 2024","📢 A qui va dirigit el Kit Digital? Les solucions digitals que proporciona el Kit Digital estan orientades a les necessitats de les petites empreses, microempreses i treballadors autònoms, que pertanyin a qualsevol sector o tipologia de negoci. Tota la informació a la nostra web ➡️ https://loom.ly/Ot1CM-g #kitdigital #subvenció #efimatica"
"Wed, Jun 19 2024","L'efimeritat dels arxius 'online': estan fora de perill les nostres fotos? ➡️ https://loom.ly/7AeJ2vw"
"Fri, Jun 21 2024","📣 El nostre lloc web té un nou disseny! Dona-li una ullada i descobreix totes les novetats 📲 https://loom.ly/gEIOx-I"
"Mon, Jun 24 2024","📶 Els nostres professionals poden encarregar-se de preparar les instal·lacions de xarxa de la teva empresa per tal que disposeu d'una excel·lent connectivitat per a les vostres tasques diàries. Serveis de muntatge, configuració i manteniment de xarxes Wifi amb i sense fils. Controladors de domini, DNS i DHCP, perfils d'usuari, cablejat, firewalls. iWifi: Ús de la wifi per a funcions comercials i de màrqueting. Monitoratge de la xarxa Wifi, control i ampliació de senyal."
"Wed, Jun 26 2024","Meta atura el seu projecte per entrenar la IA amb publicacions de Facebook i Instagram a Europa ➡️ https://loom.ly/p4VmvO8"
"Fri, Jun 28 2024","El mercat assegurador de ciberseguretat a Espanya creix un 25% el 2023. Llegeix la notícia ➡️ https://loom.ly/IZn0oGc"
"Sun, Jun 30 2024","La revolució tecnològica al turisme espanyol: un viatge cap a la innovació ➡️ https://loom.ly/4QV-LP4"
